headline,link,premium,subhead,byline,article_type,image
 How Iran secretly acquired facial recognition technology through a Russian company  ,https://www.lemonde.fr/en/investigations/article/2026/03/04/how-iran-secretly-acquired-facial-recognition-technology-through-a-russian-company_6751079_231.html,Subscribers only,"An investigation coordinated by Forbidden Stories, in partnership with Le Monde, reveals that an Iranian company purchased and then resold the Russian surveillance software FindFace to various entities within the regime.",,,https://img.lemde.fr/2026/03/02/0/0/3000/2000/600/400/75/0/789aed8_upload-1-k7udhqfstyxt-projet-tina.jpg
France enters Iran conflict in a 'strictly defensive' posture,https://www.lemonde.fr/en/international/article/2026/03/04/france-enters-iran-conflict-in-a-strictly-defensive-posture_6751076_4.html,Subscribers only,"In a solemn address on Tuesday evening, Emmanuel Macron announced, among other measures, the deployment of the aircraft carrier Charles-de-Gaulle to the eastern Mediterranean, confirming the likelihood of a wider regional conflict in the Middle East.",,,https://img.lemde.fr/2026/03/03/2/0/3726/2484/398/265/75/0/73b1c49_ftp-1-tvxwe38dcm3d-5356722-01-06.jpg
"Beirut hotel hit, six killed as Israel launches 'broad wave of strikes'",https://www.lemonde.fr/en/international/article/2026/03/04/israeli-strike-hits-beirut-hotel_6751078_4.html,,"Lebanon's health ministry said that strikes on two towns South of Beirut had killed six people and wounded eight, while Israel stated on Wednesday that it has launched a 'broad wave of strikes' on targets in Iran.",,,https://img.lemde.fr/2026/03/04/0/0/4944/3296/398/265/75/0/ffc91f0_ftp-1-izx2aq7dcl5m-5358568-01-06.jpg
Attack in Iran: 'The Islamic Republic has broken the bond it once sought to forge between the state and the people',https://www.lemonde.fr/en/opinion/article/2026/03/04/attack-in-iran-the-islamic-republic-has-broken-the-bond-it-once-sought-to-forge-between-the-state-and-the-people_6751073_23.html,Subscribers only,"Researchers Jean-Pierre Digard, Bernard Hourcade and Yann Richard reflect on two centuries of opposition between Iran and the West, and question whether the current situation should be seen as a failure of the regime or of the Iranian nation itself.",,,https://img.lemde.fr/2026/03/02/0/0/6000/4000/398/265/75/0/068079c_ftp-1-4vifw2kpb295-6ba222a1ddf045469fa9f82877a42301-1-1a70f88423f44d3c937f5cb81c0fceb1.jpg
"'Dubai, a city of spectacle and a global hub, is now caught up in geopolitics'",https://www.lemonde.fr/en/international/article/2026/03/04/dubai-a-city-of-spectacle-and-a-global-hub-is-now-caught-up-in-geopolitics_6751080_4.html,Subscribers only,"Geographer Roman Stadnicki, who specializes in Gulf countries' urban landscapes, discusses the impact of Iranian strikes on the United Arab Emirates' principality.", Benjamin Barthe,Interview,https://img.lemde.fr/2026/03/02/100/0/2400/1600/664/442/75/0/45e4db0_ftp-1-gmxl44nzez90-5346368-01-06.jpg
"Italy is experiencing stagnant and declining growth, not an 'economic miracle'",https://www.lemonde.fr/en/economy/article/2026/03/04/italy-is-experiencing-stagnant-and-declining-growth-not-an-economic-miracle_6751075_19.html,Subscribers only,,,,https://img.lemde.fr/2026/03/03/0/0/5905/3937/198/132/95/0/3207fec_upload-1-euuibyi5946p-000-79l82pd.jpg
A Paris exhibition explores the interplay of shadows and light,https://www.lemonde.fr/en/m-le-mag/article/2026/03/04/a-paris-exhibition-explores-the-interplay-of-shadows-and-light_6751077_117.html,Subscribers only,,,,https://img.lemde.fr/2026/02/19/36/0/1500/1000/198/132/95/0/3451729_ftp-1-uypbfkydsesr-417532-3460078.jpg
Germany's nuclear cooperation with France marks a significant shift,https://www.lemonde.fr/en/international/article/2026/03/04/germany-s-nuclear-cooperation-with-france-marks-a-significant-shift_6751072_4.html,Subscribers only,,,,https://img.lemde.fr/2026/03/01/0/0/7140/4760/198/132/95/0/b8670fd_ftp-1-qivixdbj0tf0-52b77316de20473da41da677c65ae6cf-0-324dc9332448479d8da15392270bd0b0.jpg
Cuba charges six with terrorism in US speedboat shootout,https://www.lemonde.fr/en/international/article/2026/03/04/cuba-charges-six-with-terrorism-in-us-speedboat-shootout_6751074_4.html,,,,,https://img.lemde.fr/2026/02/26/0/0/2999/1999/198/132/95/0/f276d89_ftp-1-pu0zw6xnqn2i-5300843-01-06.jpg
Bill Clinton explains suggestive photos from Epstein files and says nothing 'improper' with Trump's involvement,https://www.lemonde.fr/en/international/article/2026/03/04/bill-clinton-explains-suggestive-photos-from-epstein-files-and-says-nothing-improper-with-trump-s-involvement_6751071_4.html,,,,,https://img.lemde.fr/2026/03/02/0/0/2200/1466/198/132/95/0/eb11844_ftp-1-5lwrqih2wisj-2026-03-02t220121z-1482065469-rc2dwjaqymz4-rtrmadp-3-usa-trump-epstein-clintons.JPG
